"Molecular.Weight_g.mol_","XLogP3","Hydrogen.Bond.Donor.Count","Hydrogen.Bond.Acceptor.Count","Rotatable.Bond.Count","Topological.Polar.Surface.Area.A.2.","Heavy.Atom.Count","Complexity","logS","Ratio..g.ml.","Name","Ratio..g.ml..1","Name.1","Ratio..g.ml..2","Name.2","Ratio..g.ml..3","Name.3","Ratio..g.ml..4","Weight.mg.","Thickness.mm.","Tensile.strength.Mpa.","Elongation.","Folding.endurance","Drug.content.","y"
0.468725793958172,0.584905660377358,0.333333333333333,0.6,0.111111111111111,0.353846153846154,0.454545454545455,0.788167938931298,0.45643153526971,0.0582932692307692,1,0.00293255131964809,0.666666666666667,0.00219298245614035,0,0,0,0,0,0,0.000986842105263158,0,0.354285714285714,0,0.34
0.468725793958172,0.584905660377358,0.333333333333333,0.6,0.111111111111111,0.353846153846154,0.454545454545455,0.788167938931298,0.45643153526971,0.0582932692307692,0,0.032258064516129,0.666666666666667,0.0043859649122807,0,0,0,0,0,0,0.00230263157894737,0,0.422857142857143,0,0.21
0.413729666924864,0.226415094339623,0.666666666666667,0.4,0.666666666666667,0.494736842105263,0.363636363636364,0.524809160305344,0.477178423236515,1,0.454545454545455,0.149560117302053,0.666666666666667,0.0592105263157895,0.5,0.0328947368421053,0,0,0,0,0,0,0,0,0.47
0.821972631035373,0.584905660377358,0.666666666666667,0.8,0.777777777777778,0.520647773279352,0.772727272727273,0.74618320610687,0.572614107883817,0.00420673076923077,0.181818181818182,0.0258064516129032,0.333333333333333,0.012280701754386,0.25,0.0328947368421053,0.333333333333333,0.181818181818182,0.886068756511033,0.423076923076923,0.394736842105263,0.104502533394749,0,0.794185953391527,0.11
0.468725793958172,0.584905660377358,0.333333333333333,0.6,0.111111111111111,0.353846153846154,0.454545454545455,0.788167938931298,0.45643153526971,0.0582932692307692,0,0.00293255131964809,0.666666666666667,0.00219298245614035,0,0,0,0,0,0,0.00164473684210526,0,0.311428571428571,0,0.15
0.594468112574232,0.622641509433962,0.666666666666667,1,0.222222222222222,1,0.5,0.950381679389313,0.477178423236515,0.1484375,0.363636363636364,0.560117302052786,0,0,1,1,0,0,0,0,0.0526315789473684,0,0,0,0.14
0.336270333075135,0.69811320754717,0,0,0.111111111111111,0,0.363636363636364,0.458015267175573,0.24896265560166,0.00480769230769231,0.181818181818182,0.0574780058651026,1,0.0175438596491228,0,0,0.666666666666667,0.0909090909090909,0.908277298986646,0,0.00197368421052632,0.0786791801013358,0,0.78529670857692,0.59
0.387780790085205,0.471698113207547,0.666666666666667,0.2,0.555555555555556,0.363562753036437,0.409090909090909,0.467557251908397,0.518672199170124,0.0462740384615385,0.272727272727273,0.325513196480938,1,1,0,0,0,0,0.255706032768255,0.288461538461538,0.194078947368421,0.0846384154767388,0.857142857142857,0.785617041723392,0.26
1,1,0.333333333333333,0.2,0.777777777777778,0.253441295546559,1,0.940839694656489,0,0.0889423076923077,0.0909090909090909,1,0.333333333333333,0.153508771929825,0,0,0,0,0.146794203996591,0.0826923076923077,0.983552631578947,0,0,0.776007047329222,0.143
0.0870772011360702,0.0377358490566038,0,0.2,0,0.37165991902834,0.0909090909090909,0.311068702290076,0.981327800829876,0.173677884615385,0.272727272727273,0.253958944281525,0.333333333333333,0.0385964912280702,0,0,0,0,0,0.0769230769230769,0,0,0,1,0.1642
0.459011102504518,0.660377358490566,0,0.2,0,0.292307692307692,0.454545454545455,0.66030534351145,0.228215767634855,0.0264423076923077,0.909090909090909,0.06158357771261,0.333333333333333,0.0219298245614035,0,0,0.333333333333333,0.272727272727273,0.28861634624491,0.769230769230769,0,0.283912943344081,0,0.764074637623128,0.4278
0.0870772011360702,0.0377358490566038,0,0.2,0,0.37165991902834,0.0909090909090909,0.311068702290076,0.981327800829876,0.174278846153846,0.0909090909090909,0.620527859237537,0.333333333333333,0.0385964912280702,0,0,0,0,0,0.0961538461538462,0,0,0,0.394410186594058,0.1048
1,1,0.333333333333333,0.2,0.777777777777778,0.253441295546559,1,0.940839694656489,0,0.0528846153846154,0.727272727272727,0.67741935483871,0.333333333333333,0.0131578947368421,0,0,0,0,0.164788332228431,0.103846153846154,0.273026315789474,0,0,0.913750300312325,0.248
0.594468112574232,0.622641509433962,0.666666666666667,1,0.222222222222222,1,0.5,0.950381679389313,0.477178423236515,0.1484375,0.363636363636364,0.560117302052786,0,0,0.75,0.822368421052632,0,0,0,0,0.0460526315789474,0,0,0,0.537
0.821972631035373,0.584905660377358,0.666666666666667,0.8,0.777777777777778,0.520647773279352,0.772727272727273,0.74618320610687,0.572614107883817,0.00420673076923077,0.181818181818182,0.00586510263929619,0.666666666666667,0.0131578947368421,0.25,0.0328947368421053,0.333333333333333,1,0.948195851879913,0.673076923076923,0.358552631578947,0.205550437586366,0,0.794666453111236,0.09
0.413729666924864,0.226415094339623,0.666666666666667,0.4,0.666666666666667,0.494736842105263,0.363636363636364,0.524809160305344,0.477178423236515,1,0.181818181818182,0.325513196480938,0.666666666666667,0.0592105263157895,0.5,0.0986842105263158,0,0,0,0.396153846153846,0,0.192250115154307,0.2972,0.807079362537038,0.4
0.387780790085205,0.471698113207547,0.666666666666667,0.2,0.555555555555556,0.363562753036437,0.409090909090909,0.467557251908397,0.518672199170124,0.0462740384615385,0.272727272727273,0.325513196480938,1,0.5,0,0,0,0,0.246235438962023,0.211538461538462,0.233552631578947,0.100760018424689,0.857142857142857,0.800032033314647,0.49
