"Molecular.Weight_g.mol_","XLogP3","Hydrogen.Bond.Donor.Count","Hydrogen.Bond.Acceptor.Count","Rotatable.Bond.Count","Topological.Polar.Surface.Area.A.2.","Heavy.Atom.Count","Complexity","logS","Ratio..g.ml.","Name","Ratio..g.ml..1","Name.1","Ratio..g.ml..2","Name.2","Ratio..g.ml..3","Name.3","Ratio..g.ml..4","Weight.mg.","Thickness.mm.","Tensile.strength.Mpa.","Elongation.","Folding.endurance","Drug.content.","y"
0.821972631035373,0.584905660377358,0.666666666666667,0.8,0.777777777777778,0.520647773279352,0.772727272727273,0.74618320610687,0.572614107883817,0.00420673076923077,0.181818181818182,0.0140762463343108,0.333333333333333,0.012280701754386,0.25,0.0328947368421053,0.333333333333333,0.6,0.886163462449095,0.403846153846154,0.401315789473684,0.0670773836941502,0,0.829278523489933,0.01
0.821972631035373,0.584905660377358,0.666666666666667,0.8,0.777777777777778,0.520647773279352,0.772727272727273,0.74618320610687,0.572614107883817,0.00420673076923077,0.181818181818182,0.0140762463343108,0.333333333333333,0.0175438596491228,0.25,0.0328947368421053,0.333333333333333,0.6,0.94071408277299,0.596153846153846,0.375,0.0673652694610778,0,0.839765100671141,0.03
0.821972631035373,0.584905660377358,0.666666666666667,0.8,0.777777777777778,0.520647773279352,0.772727272727273,0.74618320610687,0.572614107883817,0.00420673076923077,0.181818181818182,0.00293255131964809,0.333333333333333,0.0175438596491228,0.25,0.0328947368421053,0.333333333333333,1,0.942560848565205,0.538461538461539,0.299342105263158,0.115154306771073,0,0.831711409395973,0.05
0.821972631035373,0.584905660377358,0.666666666666667,0.8,0.777777777777778,0.520647773279352,0.772727272727273,0.74618320610687,0.572614107883817,0.00420673076923077,0.181818181818182,0.0263929618768328,0.333333333333333,0.0175438596491228,0.25,0.0328947368421053,0.333333333333333,0.2,0.947059380623165,0.326923076923077,0.348684210526316,0.178201289728236,0,0.827852348993289,0.05
0.821972631035373,0.584905660377358,0.666666666666667,0.8,0.777777777777778,0.520647773279352,0.772727272727273,0.74618320610687,0.572614107883817,0.00420673076923077,0.181818181818182,0.0252199413489736,0.333333333333333,0.0232456140350877,0.25,0.0328947368421053,0.333333333333333,0.2,0.994412349654323,0.480769230769231,0.332236842105263,0.218505297098111,0,0.828942953020134,0.07
0.821972631035373,0.584905660377358,0.666666666666667,0.8,0.777777777777778,0.520647773279352,0.772727272727273,0.74618320610687,0.572614107883817,0.00420673076923077,0.181818181818182,0.00293255131964809,0.333333333333333,0.012280701754386,0.25,0.0328947368421053,0.333333333333333,1,0.886542286201345,0.576923076923077,0.983552631578947,0.110836020267158,0,0.82760067114094,0.05
0.821972631035373,0.584905660377358,0.666666666666667,0.8,0.777777777777778,0.520647773279352,0.772727272727273,0.74618320610687,0.572614107883817,0.00420673076923077,0.181818181818182,0.0134897360703812,0.333333333333333,0.0232456140350877,0.25,0.0328947368421053,0.333333333333333,0.58,0.994743820437541,0.596153846153846,0.116447368421053,0.141927683095348,0,0.839765100671141,0.06
0.821972631035373,0.584905660377358,0.666666666666667,0.8,0.777777777777778,0.520647773279352,0.772727272727273,0.74618320610687,0.572614107883817,0.00420673076923077,0.181818181818182,0.00234604105571847,0.333333333333333,0.0232456140350877,0.25,0.0328947368421053,0.333333333333333,0.98,0.995122644189791,0.461538461538462,0.0855263157894737,0.238369415016122,0,0.839848993288591,0.03
0.821972631035373,0.584905660377358,0.666666666666667,0.8,0.777777777777778,0.520647773279352,0.772727272727273,0.74618320610687,0.572614107883817,0.00420673076923077,0.181818181818182,0.0181818181818182,0.333333333333333,0.0131578947368421,0.25,0.0328947368421053,0.333333333333333,0.66,0.939388199640117,0.442307692307692,0.440789473684211,0.0498042376784892,0,0.84010067114094,0.02
0.821972631035373,0.584905660377358,0.666666666666667,0.8,0.777777777777778,0.520647773279352,0.772727272727273,0.74618320610687,0.572614107883817,0.00420673076923077,0.181818181818182,0.0258064516129032,0.666666666666667,0.0232456140350877,0.25,0.0328947368421053,0.333333333333333,0.2,1,0.615384615384615,0.375,0.175322432058959,0,0.839848993288591,0.1
